Data Source,Indicator,TA,Series Name,Series Code,Country Name,Country Code,2015,2016,2017,2018,2019
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Afghanistan,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Albania,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Algeria,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Angola,,3900,3900,4000,4100,4100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Argentina,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Armenia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Australia,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Austria,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Azerbaijan,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Bahamas,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Bahrain,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Bangladesh,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Barbados,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Belarus,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Belgium,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Belize,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Benin,,500,500,500,500,500
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Bhutan,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Bolivia,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,BosniaandHerzegovina,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Botswana,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Brazil,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,BruneiDarussalam,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Bulgaria,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,BurkinaFaso,,500,500,500,500,500
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Burundi,,500,500,200,200,200
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,CaboVerde,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Cambodia,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Cameroon,,3600,3300,3000,2700,2400
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Canada,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,CentralAfricanRepublic,,1000,1000,1000,1000,1000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Chad,,1000,1000,1000,1000,1000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Chile,,200,200,200,200,200
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,China,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Colombia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Comoros,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Congo,,1000,1000,1000,1000,1100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,CostaRica,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Croatia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Cuba,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Cyprus,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Czechia,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,C̫ted'Ivoire,,1400,1300,1200,1100,1000
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,DemocraticPeople'sRepublicofKorea,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,DemocraticRepublicoftheCongo,,4000,3900,3700,3400,3100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Denmark,,,,,,
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Djibouti,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,DominicanRepublic,,500,500,500,500,500
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Ecuador,,100,100,100,100,100
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,Egypt,,100,100,100,200,200
UNAIDS,Incidence,HIV,HIV Incidence 10-19 All,,ElSalvador,,100,100,100,100,100
